#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
gfz2020hnsy|2020-04-17T03:05:26.15|51.619000|15.804000|10.0|||GFZ|gfz2020hnsy|M|3.54||Poland|
gfz2020hazx|2020-04-10T03:50:34.47|51.648000|16.134000|0.9|||GFZ|gfz2020hazx|ML|3.19||Poland|
gfz2020gzer|2020-04-09T03:58:37.29|51.584000|16.216000|1.0|||GFZ|gfz2020gzer|ML|3.8||Poland|
gfz2020gmjh|2020-04-02T03:32:39.51|51.640000|16.101000|5.0|||GFZ|gfz2020gmjh|MLv|3.37||Poland|
gfz2020cyes|2020-02-11T16:42:50.69|51.629000|16.014000|10.0|||GFZ|gfz2020cyes|MLv|3.54||Poland|
gfz2019zmgs|2019-12-29T11:25:00.11|51.518000|16.068000|1.0|||GFZ|gfz2019zmgs|ML|3.52||Poland|
gfz2019xkuj|2019-11-30T04:58:34.12|51.564000|16.120000|10.0|||GFZ|gfz2019xkuj|mb|4.36||Poland|
gfz2019wyhr|2019-11-23T08:55:40.22|51.454000|15.836000|10.0|||GFZ|gfz2019wyhr|mb|3.75||Poland|
gfz2019vfle|2019-10-29T19:34:08.48|52.131000|16.715000|1.0|||GFZ|gfz2019vfle|ML|3.32||Poland|
gfz2019uwas|2019-10-24T16:04:05.93|51.527000|15.953000|10.0|||GFZ|gfz2019uwas|M|3.48||Poland|
gfz2019swsd|2019-09-26T13:47:50.5|51.606000|15.928000|10.0|||GFZ|gfz2019swsd|mb|3.9||Poland|
gfz2019stjr|2019-09-24T18:07:28.76|51.393000|16.159000|1.0|||GFZ|gfz2019stjr|ML|3.16||Poland|
gfz2019sikt|2019-09-18T18:09:48.78|51.633000|15.923000|10.0|||GFZ|gfz2019sikt|M|3.37||Poland|
gfz2019sbya|2019-09-15T04:55:22.56|51.531000|16.078000|10.0|||GFZ|gfz2019sbya|mb|3.99||Poland|
gfz2019qwok|2019-08-29T00:50:11.96|51.597000|16.124000|2.0|||GFZ|gfz2019qwok|mb|4.34||Poland|
gfz2019pobg|2019-08-10T03:38:15.52|51.668000|16.159000|1.0|||GFZ|gfz2019pobg|ML|2.87||Poland|
gfz2019pczj|2019-08-04T02:06:39.45|51.460000|16.010000|1.0|||GFZ|gfz2019pczj|ML|2.22||Poland|
gfz2019ompr|2019-07-26T03:02:52.7|51.649000|16.065000|1.0|||GFZ|gfz2019ompr|ML|3.14||Poland|
gfz2019ocqe|2019-07-20T15:56:59.41|51.508000|16.031000|10.0|||GFZ|gfz2019ocqe|mb|3.92||Poland|
gfz2019nqml|2019-07-14T00:26:00.92|51.470000|15.756000|10.0|||GFZ|gfz2019nqml|M|3.44||Poland|
gfz2019nblb|2019-07-05T18:41:01.25|51.505000|16.077000|2.0|||GFZ|gfz2019nblb|mb|4.51||Poland|
gfz2019mdln|2019-06-22T15:40:22.81|51.473000|16.059000|1.0|||GFZ|gfz2019mdln|mb|3.28||Poland|
gfz2019lrbc|2019-06-15T20:46:04.77|51.449000|15.980000|10.0|||GFZ|gfz2019lrbc|mb|4.06||Poland|
gfz2019koiz|2019-05-31T03:46:52.36|51.455000|16.112000|1.0|||GFZ|gfz2019koiz|ML|2.82||Poland|
gfz2019kbnp|2019-05-24T03:22:02.53|51.336000|15.825000|10.0|||GFZ|gfz2019kbnp|M|3.33||Poland|
gfz2019jzsf|2019-05-23T03:23:35.33|51.535000|16.162000|1.0|||GFZ|gfz2019jzsf|M|3.25||Poland|
gfz2019jsbc|2019-05-18T22:49:07.04|51.415000|16.046000|1.0|||GFZ|gfz2019jsbc|ML|2.71||Poland|
gfz2019jlfm|2019-05-15T05:05:15.46|51.398000|15.745000|1.0|||GFZ|gfz2019jlfm|ML|3.35||Poland|
gfz2019jdbt|2019-05-10T18:06:35.81|51.647000|16.038000|1.0|||GFZ|gfz2019jdbt|ML|3.27||Poland|
gfz2019ikya|2019-04-30T19:46:49.73|51.554000|16.700000|1.0|||GFZ|gfz2019ikya|ML|3.0||Poland|
gfz2019iegj|2019-04-27T04:02:16.28|51.607000|16.062000|10.0|||GFZ|gfz2019iegj|mb|3.96||Poland|
gfz2019fjfm|2019-03-18T04:40:23.72|51.620000|16.113000|1.0|||GFZ|gfz2019fjfm|M|3.15||Poland|
gfz2019etrr|2019-03-09T16:39:20.75|51.522000|16.160000|1.0|||GFZ|gfz2019etrr|ML|3.32||Poland|
gfz2019esug|2019-03-09T04:49:30.44|51.414000|15.865000|10.0|||GFZ|gfz2019esug|M|3.36||Poland|
gfz2019emkd|2019-03-05T16:56:01.8|51.395000|15.936000|10.0|||GFZ|gfz2019emkd|mb|4.09||Poland|
gfz2019dlxk|2019-02-19T04:55:47.02|51.359000|15.837000|10.0|||GFZ|gfz2019dlxk|mb|4.02||Poland|
gfz2019cyhp|2019-02-11T18:17:44.03|51.342000|16.170000|1.0|||GFZ|gfz2019cyhp|ML|3.12||Poland|
gfz2019cadp|2019-01-29T12:53:44.47|51.519000|16.084000|1.0|||GFZ|gfz2019cadp|MLv|4.62||Poland|
gfz2019bies|2019-01-19T17:06:40.45|51.373000|15.908000|10.0|||GFZ|gfz2019bies|M|3.43||Poland|
gfz2019bfky|2019-01-18T04:44:14.96|51.618000|16.117000|10.0|||GFZ|gfz2019bfky|mb|3.98||Poland|
gfz2019auuh|2019-01-12T08:58:27.29|51.569000|16.181000|10.0|||GFZ|gfz2019auuh|mb|4.08||Poland|
gfz2018ynck|2018-12-15T16:50:09.16|51.527000|16.029000|1.3|||GFZ|gfz2018ynck|MLv|3.28||Poland|
gfz2018xthp|2018-12-04T20:45:05.45|51.516000|16.008000|10.0|||GFZ|gfz2018xthp|mb|3.96||Poland|
gfz2018xsca|2018-12-04T04:47:19.93|51.371000|15.911000|10.0|||GFZ|gfz2018xsca|M|3.55||Poland|
gfz2018xnmt|2018-12-01T16:32:06.96|51.468000|16.028000|10.0|||GFZ|gfz2018xnmt|mb|3.79||Poland|
gfz2018wsua|2018-11-20T08:21:17.02|51.504000|16.123000|1.0|||GFZ|gfz2018wsua|MLv|3.6||Poland|
gfz2018wspq|2018-11-20T06:15:57.4|51.539000|16.158000|10.0|||GFZ|gfz2018wspq|mb|4.22||Poland|
gfz2018vhzf|2018-10-31T04:56:25.31|51.532000|16.076000|1.0|||GFZ|gfz2018vhzf|MLv|3.26||Poland|
gfz2018vfxf|2018-10-30T01:39:23.41|51.470000|15.945000|10.0|||GFZ|gfz2018vfxf|M|3.55||Poland|
gfz2018vckd|2018-10-28T03:38:42.33|51.412000|15.944000|10.0|||GFZ|gfz2018vckd|M|3.49||Poland|
gfz2018soxo|2018-09-22T07:30:42.47|51.700000|16.185000|1.1|||GFZ|gfz2018soxo|MLv|3.51||Poland|
gfz2018shig|2018-09-18T03:45:51.0000|51.488000|16.069000|10.0|||GFZ|gfz2018shig|mb|4.11||Poland|
gfz2018scvc|2018-09-15T16:35:16.64|51.454000|16.095000|1.0|||GFZ|gfz2018scvc|mb|4.64||Poland|
gfz2018qybi|2018-08-29T20:29:56.83|51.565000|16.113000|10.0|||GFZ|gfz2018qybi|mb|4.19||Poland|
gfz2018prxh|2018-08-12T06:07:06.96|51.501000|16.124000|10.0|||GFZ|gfz2018prxh|mb|4.37||Poland|
gfz2018pcjk|2018-08-03T18:03:35.46|51.480000|15.802000|1.0|||GFZ|gfz2018pcjk|M|3.3||Poland|
gfz2018oxqe|2018-08-01T03:47:32.74|51.606000|16.170000|10.0|||GFZ|gfz2018oxqe|mb|4.23||Poland|
gfz2018obrp|2018-07-20T03:31:30.51|51.550000|16.055000|5.0|||GFZ|gfz2018obrp|mb|4.79||Poland|
gfz2018ncoz|2018-07-06T09:48:17.18|51.510000|16.159000|1.0|||GFZ|gfz2018ncoz|MLv|3.26||Poland|
gfz2018mxvy|2018-07-03T19:38:49.42|51.556000|16.183000|1.0|||GFZ|gfz2018mxvy|MLv|4.13||Poland|
gfz2018kgcv|2018-05-26T15:36:35.08|51.477000|15.940000|1.0|||GFZ|gfz2018kgcv|M|3.02||Poland|
gfz2018kfix|2018-05-26T05:31:40.98|51.387000|15.977000|1.0|||GFZ|gfz2018kfix|M|3.0||Poland|
gfz2018juha|2018-05-20T04:04:59.14|51.610000|15.969000|0.5|||GFZ|gfz2018juha|M|3.33||Poland|
gfz2018jeth|2018-05-11T16:06:28.86|51.622000|15.982000|1.0|||GFZ|gfz2018jeth|M|3.35||Poland|
gfz2018ittk|2018-05-05T15:40:56.22|51.589000|16.114000|10.0|||GFZ|gfz2018ittk|mb|4.15||Poland|
gfz2018hhkl|2018-04-14T15:58:52.2|51.565000|16.068000|10.0|||GFZ|gfz2018hhkl|mb|4.43||Poland|
gfz2018hhjw|2018-04-14T15:40:48.72|51.429000|15.923000|10.0|||GFZ|gfz2018hhjw|M|3.78||Poland|
gfz2018gidi|2018-03-31T19:58:28.57|51.551000|16.142000|1.0|||GFZ|gfz2018gidi|MLv|3.24||Poland|
gfz2018eurw|2018-03-10T05:53:39.53|51.643000|16.038000|10.0|||GFZ|gfz2018eurw|mb|3.88||Poland|
gfz2018brpb|2018-01-24T20:27:10.58|51.407000|15.964000|10.0|||GFZ|gfz2018brpb|M|3.35||Poland|
gfz2017zhsf|2017-12-26T23:33:20.56|51.580000|16.201000|1.0|||GFZ|gfz2017zhsf|MLv|3.78||Poland|
gfz2017zgtw|2017-12-26T11:15:31.42|51.497000|16.057000|1.0|||GFZ|gfz2017zgtw|mb|4.46||Poland|
gfz2017yhey|2017-12-12T11:19:07.02|51.488000|15.944000|10.0|||GFZ|gfz2017yhey|M|3.68||Poland|
gfz2017xyoc|2017-12-07T17:42:50.88|51.525000|16.099000|1.0|||GFZ|gfz2017xyoc|MLv|4.14||Poland|
gfz2017xdbd|2017-11-25T23:17:47.45|51.549000|16.080000|10.0|||GFZ|gfz2017xdbd|mb|4.06||Poland|
gfz2017wtck|2017-11-20T12:39:28.85|51.154000|14.101000|2.0|||GFZ|gfz2017wtck|M|2.3||Germany|
gfz2017wehg|2017-11-12T09:59:57.04|51.396000|16.060000|2.0|||GFZ|gfz2017wehg|M|3.5||Poland|
gfz2017wasw|2017-11-10T11:19:07.87|51.585000|16.167000|10.0|||GFZ|gfz2017wasw|mb|4.52||Poland|
